CustomerID,Name,Email,Type
1,Beverly Myers,sarabanks@example.com,Member
2,Michael Morton,garymartin@example.net,Member
3,Darrell Stone,whaas@example.com,Member
4,Thomas Barnes,snorman@example.org,Guest
5,Jordan Trujillo,dparker@example.com,Member
6,Andrew Griffith,amy63@example.com,Guest
7,Sarah Villa,gonzalezronald@example.com,Guest
8,James Wright,johnsonjeremy@example.net,Guest
9,Juan Wilkinson,sosapaige@example.org,Guest
10,Rachael Young,castrobryan@example.net,Member
11,James Jackson,janet63@example.com,Member
12,Brandon Farrell,hancocklori@example.org,Guest
13,James Snyder,tatkinson@example.org,Member
14,Mariah Buchanan,obutler@example.org,Guest
15,Matthew Watson,steven25@example.net,Guest
16,Tammy Gibbs,lindafoster@example.net,Guest
17,Jessica Diaz,hheath@example.org,Guest
18,Christine Moore,melissaroy@example.net,Member
19,Benjamin Adams,newmankatherine@example.com,Guest
20,John Anderson,srobinson@example.org,Guest
21,Rebecca Young,daltondenise@example.net,Guest
22,Kimberly Doyle,shafferchristopher@example.net,Guest
23,Jacqueline Hodge,farmerbobby@example.com,Member
24,Joel Williams MD,woodsjavier@example.net,Guest
25,Justin Jones,ashley24@example.org,Member
26,Ashley Morse,davisjohn@example.com,Guest
27,Brianna Stewart,ericawilson@example.com,Guest
28,Lisa Underwood,pedwards@example.org,Member
29,Jason Mathis,jwoodard@example.org,Member
30,Taylor Rivera,mike58@example.org,Guest
31,Matthew Johnson,parkerkimberly@example.net,Guest
32,Lee Adams,djones@example.org,Member
33,Ann Archer,stephaniemayer@example.com,Guest
34,Mr. James Perkins,garyweaver@example.com,Guest
35,Patrick Mccullough,ngibson@example.org,Guest
36,Chad Crawford,bryanmejia@example.org,Member
37,Meghan Erickson,jessica02@example.net,Guest
38,Robert Edwards,tamarabryant@example.org,Member
39,Joshua Rose,barneskatie@example.net,Member
40,Kristin Duarte,bradshawautumn@example.com,Guest
41,Megan Williams,ifernandez@example.net,Member
42,Lauren Bishop,ryan07@example.org,Member
43,Anthony Hicks,anna69@example.net,Guest
44,Cheryl Mason,craigmartinez@example.net,Member
45,George Nelson,cnichols@example.com,Member
46,Jocelyn Johnson,mholland@example.org,Member
47,Richard Williams,escobaraaron@example.org,Guest
48,Sheryl Ortiz,dana37@example.com,Guest
49,Elizabeth Gonzalez,farleyrebecca@example.net,Guest
50,Kenneth Quinn,deborahwatkins@example.com,Member
51,Sarah Brown,taylordiane@example.net,Guest
52,Hannah Fisher,heather42@example.net,Guest
53,Angela Mcbride,josephtran@example.org,Guest
54,Karen Walker,greeneelizabeth@example.org,Member
55,Nichole Richards,nancy64@example.org,Guest
56,Olivia Decker,stevensbrent@example.org,Member
